Horizon,Model,ECE,CI_low,CI_high,95% CI
1d,LR (uncal),0.1508,0.1335,0.1706,"[0.1335, 0.1706]"
1d,LR + Platt,0.1627,0.1444,0.1789,"[0.1444, 0.1789]"
1d,LR + Isotonic,0.1592,0.1396,0.1769,"[0.1396, 0.1769]"
1d,XGB (uncal),0.1634,0.1455,0.181,"[0.1455, 0.1810]"
1d,XGB + Platt,0.1554,0.1396,0.1717,"[0.1396, 0.1717]"
1d,XGB + Isotonic,0.1742,0.1585,0.1907,"[0.1585, 0.1907]"
5d,LR (uncal),0.1985,0.1797,0.2191,"[0.1797, 0.2191]"
5d,LR + Platt,0.2318,0.2131,0.2504,"[0.2131, 0.2504]"
5d,LR + Isotonic,0.2268,0.2071,0.2463,"[0.2071, 0.2463]"
5d,XGB (uncal),0.1904,0.1719,0.2087,"[0.1719, 0.2087]"
5d,XGB + Platt,0.1498,0.1402,0.168,"[0.1402, 0.1680]"
5d,XGB + Isotonic,0.2154,0.1994,0.2331,"[0.1994, 0.2331]"
20d,LR (uncal),0.3567,0.336,0.3788,"[0.3360, 0.3788]"
20d,LR + Platt,0.3807,0.3601,0.3984,"[0.3601, 0.3984]"
20d,LR + Isotonic,0.4426,0.4217,0.4631,"[0.4217, 0.4631]"
20d,XGB (uncal),0.3699,0.3494,0.3938,"[0.3494, 0.3938]"
20d,XGB + Platt,0.1866,0.1672,0.2072,"[0.1672, 0.2072]"
20d,XGB + Isotonic,0.2812,0.2613,0.3024,"[0.2613, 0.3024]"
