Horizon,Model,ECE,Brier,LogLoss,AUC
1d,LR (uncal),0.1508,0.1668,0.6559,0.901
1d,LR + Platt,0.1627,0.1598,0.5429,0.9019
1d,LR + Isotonic,0.1592,0.1596,0.6927,0.9013
1d,XGB (uncal),0.1634,0.1633,0.5906,0.8808
1d,XGB + Platt,0.1554,0.1337,0.4376,0.8998
1d,XGB + Isotonic,0.1742,0.1404,0.4461,0.8999
5d,LR (uncal),0.1985,0.208,0.7917,0.8525
5d,LR + Platt,0.2318,0.2063,0.6586,0.8552
5d,LR + Isotonic,0.2268,0.2056,0.6232,0.8555
5d,XGB (uncal),0.1904,0.1799,0.6141,0.8677
5d,XGB + Platt,0.1498,0.1531,0.4846,0.8715
5d,XGB + Isotonic,0.2154,0.1657,0.5095,0.8812
20d,LR (uncal),0.3567,0.3507,1.176,0.6406
20d,LR + Platt,0.3807,0.3259,0.8655,0.6377
20d,LR + Isotonic,0.4426,0.3921,1.1039,0.6299
20d,XGB (uncal),0.3699,0.3537,1.0133,0.5936
20d,XGB + Platt,0.1866,0.2108,0.6134,0.6658
20d,XGB + Isotonic,0.2812,0.2577,0.7091,0.6621
