feature,coefficient
const,0.3772015390256654
Return,-0.03650848097491152
Return_5d,-0.1848137541405036
Return_20d,0.37879057384774323
Return_Smooth,0.6493732277974504
RSI_14,0.8234099530545566
MACD_Hist,-0.3094770227105403
Drawdown,-0.18019499546422885
VIX,-0.4013637484480741
VIX_Change,-0.007813720761811383
VIX_Change_5d,0.07832004591018567
GDP_YoY,0.05447936328249175
Core_Inflation_YoY,-0.22767862043437792
M2_YoY,-0.058263360937563236
Unemployment,-0.05926625675624028
Risk_Adj_Return_20d,-0.301647892790747
Relative_Volume,0.05313331463641273
MACD_Hist_Accel,-0.13186616385983327
